path,index_status,worktree_status,exists,bytes,group,github_recommendation
ios/CyMusic/CyMusic-Bridging-Header.h,unchanged,unchanged,True,103,ios,应用源码/资源/原生工程/构建或项目文档，建议保留
ios/CyMusic/CyMusic.entitlements,unchanged,unchanged,True,383,ios,应用源码/资源/原生工程/构建或项目文档，建议保留
ios/CyMusic/Images.xcassets/AppIcon.appiconset/App-Icon-1024x1024@1x.png,unchanged,unchanged,True,55812,ios,应用源码/资源/原生工程/构建或项目文档，建议保留
ios/CyMusic/Images.xcassets/AppIcon.appiconset/Contents.json,unchanged,unchanged,True,215,ios,应用源码/资源/原生工程/构建或项目文档，建议保留
ios/CyMusic/Images.xcassets/Contents.json,unchanged,unchanged,True,62,ios,应用源码/资源/原生工程/构建或项目文档，建议保留
ios/CyMusic/Images.xcassets/SplashScreen.imageset/Contents.json,unchanged,unchanged,True,290,ios,应用源码/资源/原生工程/构建或项目文档，建议保留
ios/CyMusic/Images.xcassets/SplashScreen.imageset/image.png,unchanged,unchanged,True,30316,ios,应用源码/资源/原生工程/构建或项目文档，建议保留
ios/CyMusic/Images.xcassets/SplashScreenBackground.imageset/Contents.json,unchanged,unchanged,True,290,ios,应用源码/资源/原生工程/构建或项目文档，建议保留
ios/CyMusic/Images.xcassets/SplashScreenBackground.imageset/image.png,unchanged,unchanged,True,68,ios,应用源码/资源/原生工程/构建或项目文档，建议保留
ios/CyMusic/Info.plist,unchanged,modified,True,2843,ios,应用源码/资源/原生工程/构建或项目文档，建议保留
ios/CyMusic/SplashScreen.storyboard,unchanged,unchanged,True,5180,ios,应用源码/资源/原生工程/构建或项目文档，建议保留
ios/CyMusic/Supporting/Expo.plist,unchanged,unchanged,True,427,ios,应用源码/资源/原生工程/构建或项目文档，建议保留
ios/CyMusic/UserApiModule.h,unchanged,unchanged,True,135,ios,应用源码/资源/原生工程/构建或项目文档，建议保留
ios/CyMusic/UserApiModule.m,unchanged,unchanged,True,16844,ios,应用源码/资源/原生工程/构建或项目文档，建议保留
ios/CyMusic/main.m,unchanged,deleted,False,,ios,已有删除；旧入口/旧补丁/npm锁的删除与对应替代一并审查
ios/CyMusic/noop-file.swift,unchanged,unchanged,True,113,ios,应用源码/资源/原生工程/构建或项目文档，建议保留
ios/CyMusic/user-api-preload.js,unchanged,unchanged,True,21341,ios,应用源码/资源/原生工程/构建或项目文档，建议保留
ios/Podfile,unchanged,modified,True,2780,ios,应用源码/资源/原生工程/构建或项目文档，建议保留
ios/Podfile.lock,unchanged,modified,True,93437,ios,应用源码/资源/原生工程/构建或项目文档，建议保留
ios/Podfile.properties.json,unchanged,modified,True,169,ios,应用源码/资源/原生工程/构建或项目文档，建议保留
ios/ShareExtension/MainInterface.storyboard,unchanged,unchanged,True,1704,ios,应用源码/资源/原生工程/构建或项目文档，建议保留
ios/ShareExtension/PrivacyInfo.xcprivacy,unchanged,modified,True,649,ios,应用源码/资源/原生工程/构建或项目文档，建议保留
ios/ShareExtension/ShareExtension-Info.plist,unchanged,unchanged,True,1387,ios,应用源码/资源/原生工程/构建或项目文档，建议保留
ios/ShareExtension/ShareExtension.entitlements,unchanged,unchanged,True,319,ios,应用源码/资源/原生工程/构建或项目文档，建议保留
ios/ShareExtension/ShareViewController.swift,unchanged,modified,True,25964,ios,应用源码/资源/原生工程/构建或项目文档，建议保留
package-lock.json,unchanged,deleted,False,,(root),已有删除；旧入口/旧补丁/npm锁的删除与对应替代一并审查
package.json,unchanged,modified,True,2671,(root),应用源码/资源/原生工程/构建或项目文档，建议保留
patches/expo-dev-menu+4.5.8.patch,unchanged,deleted,False,,patches,已有删除；旧入口/旧补丁/npm锁的删除与对应替代一并审查
patches/expo-localization+14.8.4.patch,unchanged,deleted,False,,patches,已有删除；旧入口/旧补丁/npm锁的删除与对应替代一并审查
patches/expo-share-intent+1.9.0.patch,unchanged,deleted,False,,patches,已有删除；旧入口/旧补丁/npm锁的删除与对应替代一并审查
patches/xcode+3.0.1.patch,unchanged,unchanged,True,589,patches,应用源码/资源/原生工程/构建或项目文档，建议保留
readme.jpg,unchanged,unchanged,True,1828607,(root),应用源码/资源/原生工程/构建或项目文档，建议保留
src.zip,unchanged,unchanged,True,85966,(root),已有历史源码压缩包；建议后续独立清理（本轮未删）
src/app/(modals)/[name].tsx,unchanged,unchanged,True,2896,src,应用源码/资源/原生工程/构建或项目文档，建议保留
src/app/(modals)/addToPlaylist.tsx,unchanged,modified,True,2403,src,应用源码/资源/原生工程/构建或项目文档，建议保留
src/app/(modals)/importPlayList.tsx,unchanged,modified,True,9970,src,应用源码/资源/原生工程/构建或项目文档，建议保留
src/app/(modals)/logScreen.tsx,unchanged,unchanged,True,160,src,应用源码/资源/原生工程/构建或项目文档，建议保留
src/app/(modals)/playList.tsx,unchanged,modified,True,1003,src,应用源码/资源/原生工程/构建或项目文档，建议保留
src/app/(modals)/settingModal.tsx,unchanged,unchanged,True,27271,src,应用源码/资源/原生工程/构建或项目文档，建议保留
src/app/(modals)/shareintent.tsx,unchanged,modified,True,7258,src,应用源码/资源/原生工程/构建或项目文档，建议保留
src/app/(tabs)/(songs)/_layout.tsx,unchanged,unchanged,True,823,src,应用源码/资源/原生工程/构建或项目文档，建议保留
src/app/(tabs)/(songs)/index.tsx,unchanged,unchanged,True,2766,src,应用源码/资源/原生工程/构建或项目文档，建议保留
src/app/(tabs)/_layout.tsx,unchanged,modified,True,2640,src,应用源码/资源/原生工程/构建或项目文档，建议保留
src/app/(tabs)/favorites/[name].tsx,unchanged,unchanged,True,1597,src,应用源码/资源/原生工程/构建或项目文档，建议保留
src/app/(tabs)/favorites/_layout.tsx,unchanged,unchanged,True,1563,src,应用源码/资源/原生工程/构建或项目文档，建议保留
src/app/(tabs)/favorites/favoriteMusic.tsx,unchanged,unchanged,True,1402,src,应用源码/资源/原生工程/构建或项目文档，建议保留
src/app/(tabs)/favorites/index.tsx,unchanged,unchanged,True,2322,src,应用源码/资源/原生工程/构建或项目文档，建议保留
src/app/(tabs)/favorites/localMusic.tsx,unchanged,unchanged,True,7248,src,应用源码/资源/原生工程/构建或项目文档，建议保留
src/app/(tabs)/radio/[name].tsx,unchanged,unchanged,True,2073,src,应用源码/资源/原生工程/构建或项目文档，建议保留
src/app/(tabs)/radio/_layout.tsx,unchanged,unchanged,True,971,src,应用源码/资源/原生工程/构建或项目文档，建议保留
src/app/(tabs)/radio/index.tsx,unchanged,unchanged,True,1447,src,应用源码/资源/原生工程/构建或项目文档，建议保留
src/app/(tabs)/search/[name].tsx,unchanged,unchanged,True,878,src,应用源码/资源/原生工程/构建或项目文档，建议保留
src/app/(tabs)/search/_layout.tsx,unchanged,modified,True,1003,src,应用源码/资源/原生工程/构建或项目文档，建议保留
src/app/(tabs)/search/index.tsx,unchanged,modified,True,5677,src,应用源码/资源/原生工程/构建或项目文档，建议保留
src/app/[...unmatched].tsx,unchanged,unchanged,True,133,src,应用源码/资源/原生工程/构建或项目文档，建议保留
src/app/_layout.tsx,unchanged,modified,True,5255,src,应用源码/资源/原生工程/构建或项目文档，建议保留
src/app/player.tsx,unchanged,modified,True,23023,src,应用源码/资源/原生工程/构建或项目文档，建议保留
src/components/AddPlayListButton.tsx,unchanged,unchanged,True,574,src,应用源码/资源/原生工程/构建或项目文档，建议保留
src/components/ArtistTracksList.tsx,unchanged,modified,True,2346,src,应用源码/资源/原生工程/构建或项目文档，建议保留
src/components/FloatingPlayer.tsx,unchanged,modified,True,5009,src,应用源码/资源/原生工程/构建或项目文档，建议保留
src/components/GlobalButton.tsx,unchanged,unchanged,True,562,src,应用源码/资源/原生工程/构建或项目文档，建议保留
src/components/LogScreen.tsx,unchanged,modified,True,8156,src,应用源码/资源/原生工程/构建或项目文档，建议保留
src/components/MovingText.tsx,unchanged,modified,True,1264,src,应用源码/资源/原生工程/构建或项目文档，建议保留
src/components/NowPlayList.tsx,unchanged,modified,True,4612,src,应用源码/资源/原生工程/构建或项目文档，建议保留
src/components/PlayerControls.tsx,unchanged,modified,True,2882,src,应用源码/资源/原生工程/构建或项目文档，建议保留
src/components/PlayerProgressbar.tsx,unchanged,modified,True,3741,src,应用源码/资源/原生工程/构建或项目文档，建议保留
src/components/PlayerRepeatToggle.tsx,unchanged,unchanged,True,1098,src,应用源码/资源/原生工程/构建或项目文档，建议保留
src/components/PlayerVolumeBar.tsx,unchanged,modified,True,2743,src,应用源码/资源/原生工程/构建或项目文档，建议保留
src/components/PlaylistListItem.tsx,unchanged,modified,True,2059,src,应用源码/资源/原生工程/构建或项目文档，建议保留
src/components/PlaylistTracksList.tsx,unchanged,modified,True,3307,src,应用源码/资源/原生工程/构建或项目文档，建议保留
src/components/PlaylistsList.tsx,unchanged,modified,True,2951,src,应用源码/资源/原生工程/构建或项目文档，建议保留
src/components/PlaylistsListModal.tsx,unchanged,modified,True,2528,src,应用源码/资源/原生工程/构建或项目文档，建议保留
src/components/QueueControls.tsx,unchanged,modified,True,4516,src,应用源码/资源/原生工程/构建或项目文档，建议保留
src/components/RadioList.tsx,unchanged,modified,True,2009,src,应用源码/资源/原生工程/构建或项目文档，建议保留
src/components/RadioListItem.tsx,unchanged,modified,True,1980,src,应用源码/资源/原生工程/构建或项目文档，建议保留
src/components/SearchList.tsx,unchanged,modified,True,5358,src,应用源码/资源/原生工程/构建或项目文档，建议保留
src/components/SearchListItem.tsx,unchanged,modified,True,4211,src,应用源码/资源/原生工程/构建或项目文档，建议保留
src/components/ShowPlayerListToggle.tsx,unchanged,unchanged,True,667,src,应用源码/资源/原生工程/构建或项目文档，建议保留
src/components/SingerTracksList.tsx,unchanged,modified,True,3796,src,应用源码/资源/原生工程/构建或项目文档，建议保留
src/components/TrackShortcutsMenu.tsx,unchanged,unchanged,True,5000,src,应用源码/资源/原生工程/构建或项目文档，建议保留
src/components/TracksList.tsx,unchanged,modified,True,5516,src,应用源码/资源/原生工程/构建或项目文档，建议保留
src/components/TracksListItem.tsx,unchanged,modified,True,6464,src,应用源码/资源/原生工程/构建或项目文档，建议保留
src/components/lyric/index.tsx,unchanged,modified,True,9582,src,应用源码/资源/原生工程/构建或项目文档，建议保留
src/components/lyric/lyricItem.tsx,unchanged,unchanged,True,2858,src,应用源码/资源/原生工程/构建或项目文档，建议保留
src/components/utils/StopPropagation.tsx,unchanged,unchanged,True,400,src,应用源码/资源/原生工程/构建或项目文档，建议保留
src/components/utils/common.ts,unchanged,modified,True,6771,src,应用源码/资源/原生工程/构建或项目文档，建议保留
src/components/utils/index.ts,unchanged,unchanged,True,5789,src,应用源码/资源/原生工程/构建或项目文档，建议保留
src/components/utils/message.ts,unchanged,unchanged,True,460,src,应用源码/资源/原生工程/构建或项目文档，建议保留
src/components/utils/musicSdk/api-source-info.ts,unchanged,unchanged,True,211,src,应用源码/资源/原生工程/构建或项目文档，建议保留
src/components/utils/musicSdk/api-source.js,unchanged,unchanged,True,1642,src,应用源码/资源/原生工程/构建或项目文档，建议保留
src/components/utils/musicSdk/index.js,unchanged,unchanged,True,4615,src,应用源码/资源/原生工程/构建或项目文档，建议保留
src/components/utils/musicSdk/options.js,unchanged,unchanged,True,146,src,应用源码/资源/原生工程/构建或项目文档，建议保留
src/components/utils/musicSdk/tx/api-ikun.js,unchanged,unchanged,True,1156,src,应用源码/资源/原生工程/构建或项目文档，建议保留
src/components/utils/musicSdk/tx/comment.js,unchanged,unchanged,True,8633,src,应用源码/资源/原生工程/构建或项目文档，建议保留
src/components/utils/musicSdk/tx/hotSearch.js,unchanged,unchanged,True,1583,src,应用源码/资源/原生工程/构建或项目文档，建议保留
src/components/utils/musicSdk/tx/index.js,unchanged,unchanged,True,843,src,应用源码/资源/原生工程/构建或项目文档，建议保留
src/components/utils/musicSdk/tx/leaderboard.js,unchanged,unchanged,True,8334,src,应用源码/资源/原生工程/构建或项目文档，建议保留
src/components/utils/musicSdk/tx/lyric.js,unchanged,unchanged,True,826,src,应用源码/资源/原生工程/构建或项目文档，建议保留
src/components/utils/musicSdk/tx/musicInfo.js,unchanged,unchanged,True,2562,src,应用源码/资源/原生工程/构建或项目文档，建议保留
src/components/utils/musicSdk/tx/musicSearch.js,unchanged,unchanged,True,4772,src,应用源码/资源/原生工程/构建或项目文档，建议保留
src/components/utils/musicSdk/tx/songList.js,unchanged,unchanged,True,11334,src,应用源码/资源/原生工程/构建或项目文档，建议保留
src/components/utils/musicSdk/tx/tipSearch.js,unchanged,unchanged,True,1036,src,应用源码/资源/原生工程/构建或项目文档，建议保留
src/components/utils/musicSdk/utils.js,unchanged,modified,True,1075,src,应用源码/资源/原生工程/构建或项目文档，建议保留
src/components/utils/musicSdk/xm.js,unchanged,unchanged,True,1440,src,应用源码/资源/原生工程/构建或项目文档，建议保留
src/components/utils/nativeModules/cache.ts,unchanged,unchanged,True,293,src,应用源码/资源/原生工程/构建或项目文档，建议保留
src/components/utils/nativeModules/crypto.ts,unchanged,unchanged,True,3103,src,应用源码/资源/原生工程/构建或项目文档，建议保留
src/components/utils/nativeModules/userApi.ts,unchanged,unchanged,True,2794,src,应用源码/资源/原生工程/构建或项目文档，建议保留
src/components/utils/nativeModules/utils.ts,unchanged,unchanged,True,3235,src,应用源码/资源/原生工程/构建或项目文档，建议保留
src/components/utils/request.js,unchanged,unchanged,True,6293,src,应用源码/资源/原生工程/构建或项目文档，建议保留
src/constants/commonConst.ts,unchanged,modified,True,2063,src,应用源码/资源/原生工程/构建或项目文档，建议保留
src/constants/constant.ts,unchanged,unchanged,True,4147,src,应用源码/资源/原生工程/构建或项目文档，建议保留
src/constants/images.ts,unchanged,unchanged,True,660,src,应用源码/资源/原生工程/构建或项目文档，建议保留
src/constants/layout.ts,unchanged,modified,True,470,src,应用源码/资源/原生工程/构建或项目文档，建议保留
src/constants/playbackService.ts,unchanged,unchanged,True,732,src,应用源码/资源/原生工程/构建或项目文档，建议保留
src/constants/tokens.ts,unchanged,modified,True,2842,src,应用源码/资源/原生工程/构建或项目文档，建议保留
src/constants/trackPlayerEventListener.tsx,unchanged,unchanged,True,0,src,应用源码/资源/原生工程/构建或项目文档，建议保留
src/helpers/errors/MusicError.ts,unchanged,unchanged,True,506,src,应用源码/资源/原生工程/构建或项目文档，建议保留
src/helpers/filter.ts,unchanged,unchanged,True,432,src,应用源码/资源/原生工程/构建或项目文档，建议保留
src/helpers/logger.ts,unchanged,unchanged,True,1508,src,应用源码/资源/原生工程/构建或项目文档，建议保留
src/helpers/lyricManager.ts,unchanged,unchanged,True,5601,src,应用源码/资源/原生工程/构建或项目文档，建议保留
src/helpers/miscellaneous.ts,unchanged,unchanged,True,468,src,应用源码/资源/原生工程/构建或项目文档，建议保留
src/helpers/searchAll.ts,unchanged,unchanged,True,1044,src,应用源码/资源/原生工程/构建或项目文档，建议保留
src/helpers/storage.ts,unchanged,modified,True,5799,src,应用源码/资源/原生工程/构建或项目文档，建议保留
src/helpers/trackPlayerIndex.ts,unchanged,modified,True,37227,src,应用源码/资源/原生工程/构建或项目文档，建议保留
src/helpers/types.ts,unchanged,unchanged,True,659,src,应用源码/资源/原生工程/构建或项目文档，建议保留
src/helpers/userApi/getMusicSource.ts,unchanged,unchanged,True,24442,src,应用源码/资源/原生工程/构建或项目文档，建议保留
src/helpers/userApi/ikun-music-source.js,unchanged,unchanged,True,9715,src,应用源码/资源/原生工程/构建或项目文档，建议保留
src/helpers/userApi/importMusicSource.ts,unchanged,unchanged,True,1748,src,应用源码/资源/原生工程/构建或项目文档，建议保留
src/helpers/userApi/lxMusicSourceAdapter.ts,unchanged,unchanged,True,14469,src,应用源码/资源/原生工程/构建或项目文档，建议保留
src/helpers/userApi/qq-music-api.js,unchanged,unchanged,True,10679,src,应用源码/资源/原生工程/构建或项目文档，建议保留
src/helpers/userApi/request.js,unchanged,unchanged,True,3686,src,应用源码/资源/原生工程/构建或项目文档，建议保留
src/helpers/userApi/user-api-preload.js,unchanged,unchanged,True,20708,src,应用源码/资源/原生工程/构建或项目文档，建议保留
src/helpers/userApi/xiaoqiu.js,unchanged,unchanged,True,13924,src,应用源码/资源/原生工程/构建或项目文档，建议保留
src/helpers/userApiHelper.ts,unchanged,modified,True,1806,src,应用源码/资源/原生工程/构建或项目文档，建议保留
src/hooks/useAppTheme.tsx,unchanged,modified,True,3162,src,应用源码/资源/原生工程/构建或项目文档，建议保留
src/hooks/useDelayFalsy.ts,unchanged,modified,True,675,src,应用源码/资源/原生工程/构建或项目文档，建议保留
src/hooks/useLastActiveTrack.tsx,unchanged,unchanged,True,384,src,应用源码/资源/原生工程/构建或项目文档，建议保留
src/hooks/useLogTrackPlayerState.tsx,unchanged,unchanged,True,1254,src,应用源码/资源/原生工程/构建或项目文档，建议保留
src/hooks/useNavigationSearch.tsx,unchanged,modified,True,1642,src,应用源码/资源/原生工程/构建或项目文档，建议保留
src/hooks/usePlayerBackground.tsx,unchanged,modified,True,1172,src,应用源码/资源/原生工程/构建或项目文档，建议保留
src/hooks/useSetupTrackPlayer.tsx,unchanged,modified,True,1216,src,应用源码/资源/原生工程/构建或项目文档，建议保留
src/hooks/useTrackPlayerFavorite.tsx,unchanged,unchanged,True,938,src,应用源码/资源/原生工程/构建或项目文档，建议保留
src/hooks/useTrackPlayerRepeatMode.tsx,unchanged,unchanged,True,514,src,应用源码/资源/原生工程/构建或项目文档，建议保留
src/hooks/useTrackPlayerVolume.tsx,unchanged,unchanged,True,659,src,应用源码/资源/原生工程/构建或项目文档，建议保留
src/locales/en.json,unchanged,unchanged,True,4240,src,应用源码/资源/原生工程/构建或项目文档，建议保留
src/locales/zh.json,unchanged,unchanged,True,4246,src,应用源码/资源/原生工程/构建或项目文档，建议保留
src/player/CacheManager.ts,unchanged,modified,True,2993,src,应用源码/资源/原生工程/构建或项目文档，建议保留
src/player/MusicSourceResolver.ts,unchanged,modified,True,7368,src,应用源码/资源/原生工程/构建或项目文档，建议保留
src/player/PlayerStore.ts,unchanged,unchanged,True,1480,src,应用源码/资源/原生工程/构建或项目文档，建议保留
src/player/index.ts,unchanged,unchanged,True,567,src,应用源码/资源/原生工程/构建或项目文档，建议保留
src/store/PersistStatus.ts,unchanged,modified,True,2279,src,应用源码/资源/原生工程/构建或项目文档，建议保留
src/store/config.ts,unchanged,unchanged,True,7710,src,应用源码/资源/原生工程/构建或项目文档，建议保留
src/store/getOrCreateMMKV.ts,unchanged,modified,True,559,src,应用源码/资源/原生工程/构建或项目文档，建议保留
src/store/library.tsx,unchanged,unchanged,True,7537,src,应用源码/资源/原生工程/构建或项目文档，建议保留
src/store/mediaExtra.ts,unchanged,modified,True,1927,src,应用源码/资源/原生工程/构建或项目文档，建议保留
src/store/pathConst.ts,unchanged,unchanged,True,1004,src,应用源码/资源/原生工程/构建或项目文档，建议保留
src/store/playList.ts,unchanged,unchanged,True,2782,src,应用源码/资源/原生工程/构建或项目文档，建议保留
src/store/queue.tsx,unchanged,unchanged,True,333,src,应用源码/资源/原生工程/构建或项目文档，建议保留
src/store/trackViewList.ts,unchanged,unchanged,True,2237,src,应用源码/资源/原生工程/构建或项目文档，建议保留
src/store/usePlayerStore.ts,unchanged,unchanged,True,876,src,应用源码/资源/原生工程/构建或项目文档，建议保留
src/styles/index.ts,unchanged,modified,True,2064,src,应用源码/资源/原生工程/构建或项目文档，建议保留
src/types/album.d.ts,unchanged,unchanged,True,397,src,应用源码/资源/原生工程/构建或项目文档，建议保留
src/types/app.d.ts,unchanged,unchanged,True,1848,src,应用源码/资源/原生工程/构建或项目文档，建议保留
src/types/app_setting.d.ts,unchanged,unchanged,True,7240,src,应用源码/资源/原生工程/构建或项目文档，建议保留
src/types/artist.d.ts,unchanged,unchanged,True,508,src,应用源码/资源/原生工程/构建或项目文档，建议保留
src/types/common.d.ts,unchanged,unchanged,True,2281,src,应用源码/资源/原生工程/构建或项目文档，建议保留
src/types/config_files.d.ts,unchanged,unchanged,True,220,src,应用源码/资源/原生工程/构建或项目文档，建议保留
src/types/declarations.d.ts,unchanged,unchanged,True,172,src,应用源码/资源/原生工程/构建或项目文档，建议保留
src/types/dislike_list.d.ts,unchanged,unchanged,True,808,src,应用源码/资源/原生工程/构建或项目文档，建议保留
src/types/dislike_list_sync.d.ts,unchanged,unchanged,True,804,src,应用源码/资源/原生工程/构建或项目文档，建议保留
src/types/download_list.d.ts,unchanged,unchanged,True,1512,src,应用源码/资源/原生工程/构建或项目文档，建议保留
src/types/index.d.ts,unchanged,unchanged,True,67,src,应用源码/资源/原生工程/构建或项目文档，建议保留
src/types/list.d.ts,unchanged,unchanged,True,3277,src,应用源码/资源/原生工程/构建或项目文档，建议保留
src/types/list_sync.d.ts,unchanged,unchanged,True,1593,src,应用源码/资源/原生工程/构建或项目文档，建议保留
src/types/lyric.d.ts,unchanged,unchanged,True,625,src,应用源码/资源/原生工程/构建或项目文档，建议保留
src/types/music.d.ts,unchanged,unchanged,True,6414,src,应用源码/资源/原生工程/构建或项目文档，建议保留
src/types/musicSheet.d.ts,unchanged,unchanged,True,621,src,应用源码/资源/原生工程/构建或项目文档，建议保留
src/types/musicSheetGroup.d.ts,unchanged,unchanged,True,166,src,应用源码/资源/原生工程/构建或项目文档，建议保留
src/types/player.d.ts,unchanged,unchanged,True,1841,src,应用源码/资源/原生工程/构建或项目文档，建议保留
src/types/plugin.d.ts,unchanged,unchanged,True,4929,src,应用源码/资源/原生工程/构建或项目文档，建议保留
src/types/shims.d.ts,unchanged,modified,True,77,src,应用源码/资源/原生工程/构建或项目文档，建议保留
src/types/sync.d.ts,unchanged,unchanged,True,1486,src,应用源码/资源/原生工程/构建或项目文档，建议保留
src/types/sync_common.d.ts,unchanged,unchanged,True,2186,src,应用源码/资源/原生工程/构建或项目文档，建议保留
src/types/theme.d.ts,unchanged,unchanged,True,11578,src,应用源码/资源/原生工程/构建或项目文档，建议保留
src/types/user_api.d.ts,unchanged,unchanged,True,1321,src,应用源码/资源/原生工程/构建或项目文档，建议保留
src/types/utils.d.ts,unchanged,unchanged,True,915,src,应用源码/资源/原生工程/构建或项目文档，建议保留
src/utils/delay.ts,unchanged,unchanged,True,251,src,应用源码/资源/原生工程/构建或项目文档，建议保留
src/utils/i18n.ts,unchanged,unchanged,True,795,src,应用源码/资源/原生工程/构建或项目文档，建议保留
src/utils/imageUtils.ts,unchanged,unchanged,True,718,src,应用源码/资源/原生工程/构建或项目文档，建议保留
src/utils/lrcParser.ts,unchanged,unchanged,True,3962,src,应用源码/资源/原生工程/构建或项目文档，建议保留
src/utils/mediaIndexMap.ts,unchanged,unchanged,True,1182,src,应用源码/资源/原生工程/构建或项目文档，建议保留
src/utils/mediaItem.ts,unchanged,unchanged,True,2700,src,应用源码/资源/原生工程/构建或项目文档，建议保留
src/utils/musicInfo/Buffer.js,unchanged,unchanged,True,589,src,应用源码/资源/原生工程/构建或项目文档，建议保留
