path,category,git_mode,working_tree_presence,note
docs/audit/2026-09-09/audio-sources.json,docs/,100644,present,2026-09-09 历史审计快照
docs/audit/2026-09-09/cleanup.md,docs/,100644,present,2026-09-09 历史审计快照
docs/audit/2026-09-09/dependencies.csv,docs/,100644,present,2026-09-09 历史审计快照
docs/audit/2026-09-09/dependencies.md,docs/,100644,present,2026-09-09 历史审计快照
docs/audit/2026-09-09/git-state.json,docs/,100644,present,2026-09-09 历史审计快照
docs/audit/2026-09-09/pods.csv,docs/,100644,present,2026-09-09 历史审计快照
docs/audit/2026-09-09/report.md,docs/,100644,present,2026-09-09 历史审计快照
docs/audit/2026-09-09/retired-materials.csv,docs/,100644,present,2026-09-09 历史审计快照
docs/audit/2026-09-09/sources.json,docs/,100644,present,2026-09-09 历史审计快照
docs/audit/2026-09-09/tracked-files.csv,docs/,100644,present,2026-09-09 历史审计快照
docs/audit/2026-09-09/untracked-files.csv,docs/,100644,present,2026-09-09 历史审计快照
docs/maintenance/2026-09-10-dependencies.csv,docs/,100644,present,
docs/maintenance/2026-09-10-files.md,docs/,100644,present,
docs/maintenance/2026-09-10-plan.md,docs/,100644,present,
docs/maintenance/2026-09-10-results.md,docs/,100644,present,
docs/maintenance/2026-09-10-tracked-files.csv,docs/,100644,present,
ios/.gitignore,ios/,100644,present,
ios/.xcode.env,ios/,100644,present,
ios/CyMusic.xcodeproj/project.pbxproj,ios/,100644,present,
ios/CyMusic.xcodeproj/xcshareddata/xcschemes/CyMusic.xcscheme,ios/,100644,present,
ios/CyMusic.xcworkspace/contents.xcworkspacedata,ios/,100644,present,
ios/CyMusic/AppDelegate.swift,ios/,100644,present,
ios/CyMusic/CyMusic-Bridging-Header.h,ios/,100644,present,
ios/CyMusic/CyMusic.entitlements,ios/,100644,present,
ios/CyMusic/Images.xcassets/AppIcon.appiconset/App-Icon-1024x1024@1x.png,ios/,100644,present,
ios/CyMusic/Images.xcassets/AppIcon.appiconset/Contents.json,ios/,100644,present,
ios/CyMusic/Images.xcassets/Contents.json,ios/,100644,present,
ios/CyMusic/Images.xcassets/SplashScreen.imageset/Contents.json,ios/,100644,present,
ios/CyMusic/Images.xcassets/SplashScreen.imageset/image.png,ios/,100644,present,
ios/CyMusic/Images.xcassets/SplashScreenBackground.imageset/Contents.json,ios/,100644,present,
ios/CyMusic/Images.xcassets/SplashScreenBackground.imageset/image.png,ios/,100644,present,
ios/CyMusic/Info.plist,ios/,100644,present,
ios/CyMusic/PrivacyInfo.xcprivacy,ios/,100644,present,
ios/CyMusic/SplashScreen.storyboard,ios/,100644,present,
ios/CyMusic/Supporting/Expo.plist,ios/,100644,present,
ios/CyMusic/noop-file.swift,ios/,100644,present,
ios/CyMusic/user-api-preload.js,ios/,100644,present,
ios/Podfile,ios/,100644,present,
ios/Podfile.lock,ios/,100644,present,
ios/Podfile.properties.json,ios/,100644,present,
ios/ShareExtension/MainInterface.storyboard,ios/,100644,present,
ios/ShareExtension/PrivacyInfo.xcprivacy,ios/,100644,present,
ios/ShareExtension/ShareExtension-Info.plist,ios/,100644,present,
ios/ShareExtension/ShareExtension.entitlements,ios/,100644,present,
ios/ShareExtension/ShareViewController.swift,ios/,100644,present,
metro.config.js,根目录,100644,present,
modules/cymusic-native/expo-module.config.json,modules/,100644,present,
modules/cymusic-native/index.ts,modules/,100644,present,
modules/cymusic-native/ios/CyMusicDeadlineTimer.swift,modules/,100644,present,
modules/cymusic-native/ios/CyMusicFileSystemModule.swift,modules/,100644,present,
modules/cymusic-native/ios/CyMusicFileSystemPaths.swift,modules/,100644,present,
modules/cymusic-native/ios/CyMusicNative.podspec,modules/,100644,present,
modules/cymusic-native/ios/CyMusicRequestTaskRegistry.swift,modules/,100644,present,
modules/cymusic-native/ios/CyMusicRequestTasksModule.swift,modules/,100644,present,
modules/cymusic-native/ios/CyMusicSleepTimerModule.swift,modules/,100644,present,
modules/cymusic-native/ios/CyMusicSourceModule.swift,modules/,100644,present,
modules/cymusic-native/ios/CyMusicUserApiRuntime.h,modules/,100644,present,
modules/cymusic-native/ios/CyMusicUserApiRuntime.m,modules/,100644,present,
modules/cymusic-native/ios/CyMusicVolumeModule.swift,modules/,100644,present,
modules/cymusic-native/package.json,modules/,100644,present,
modules/cymusic-native/requestTasks.ts,modules/,100644,present,
modules/cymusic-native/sleepTimer.ts,modules/,100644,present,
modules/cymusic-native/userApi.ts,modules/,100644,present,
modules/cymusic-native/volume.ts,modules/,100644,present,
package.json,根目录,100755,present,
patches/expo-localization+57.0.1.patch,patches/,100644,present,
patches/expo-share-intent+8.0.1.patch,patches/,100644,present,
patches/react-native-awesome-slider+2.5.1.patch,patches/,100644,present,
patches/xcode+3.0.1.patch,patches/,100644,present,
readme.jpg,根目录,100644,present,
scripts/check-file-downloads.mjs,scripts/,100644,present,
scripts/check-local-files.mjs,scripts/,100644,present,
scripts/check-native-files.swift,scripts/,100644,present,
scripts/check-native-services.mjs,scripts/,100644,present,
scripts/check-request-timers.mjs,scripts/,100644,present,
scripts/check-sleep-timer.mjs,scripts/,100644,present,
scripts/check-source-host.mjs,scripts/,100644,present,
scripts/check-source-runtime.m,scripts/,100644,present,
scripts/check-source-runtime.mjs,scripts/,100644,present,
scripts/check-volume-native.mjs,scripts/,100644,present,
scripts/check-volume.mjs,scripts/,100644,present,
scripts/file-system-fixture.mjs,scripts/,100644,present,
scripts/fixtures/native-services-probe.swift,scripts/,100644,present,
scripts/fixtures/volume-observation-probe.swift,scripts/,100644,present,
scripts/native-services-fixture.mjs,scripts/,100644,present,
scripts/request-fixture.mjs,scripts/,100644,present,
scripts/source-runtime-fixture.mjs,scripts/,100644,present,
src.zip,根目录,100644,present,历史源码压缩包；保留，未作为当前源码使用
src/app/(modals)/[name].tsx,src/,100644,present,
src/app/(modals)/addToPlaylist.tsx,src/,100755,present,
src/app/(modals)/importPlayList.tsx,src/,100644,present,
src/app/(modals)/logScreen.tsx,src/,100644,present,
src/app/(modals)/playList.tsx,src/,100644,present,
src/app/(modals)/settingModal.tsx,src/,100644,present,
src/app/(modals)/shareintent.tsx,src/,100644,present,
src/app/(tabs)/(songs)/_layout.tsx,src/,100755,present,
src/app/(tabs)/(songs)/index.tsx,src/,100755,present,
src/app/(tabs)/_layout.tsx,src/,100755,present,
src/app/(tabs)/favorites/[name].tsx,src/,100644,present,
src/app/(tabs)/favorites/_layout.tsx,src/,100755,present,
src/app/(tabs)/favorites/favoriteMusic.tsx,src/,100644,present,
src/app/(tabs)/favorites/index.tsx,src/,100755,present,
src/app/(tabs)/favorites/localMusic.tsx,src/,100644,present,
src/app/(tabs)/radio/[name].tsx,src/,100755,present,
src/app/(tabs)/radio/_layout.tsx,src/,100755,present,
src/app/(tabs)/radio/index.tsx,src/,100755,present,
src/app/(tabs)/search/[name].tsx,src/,100755,present,
src/app/(tabs)/search/_layout.tsx,src/,100755,present,
src/app/(tabs)/search/index.tsx,src/,100755,present,
src/app/[...unmatched].tsx,src/,100755,present,
src/app/_layout.tsx,src/,100755,present,
src/app/player.tsx,src/,100755,present,
src/components/AddPlayListButton.tsx,src/,100644,present,
src/components/ArtistTracksList.tsx,src/,100755,present,
src/components/FloatingPlayer.tsx,src/,100755,present,
src/components/GlobalButton.tsx,src/,100644,present,
src/components/LogScreen.tsx,src/,100644,present,
src/components/MovingText.tsx,src/,100755,present,
src/components/NowPlayList.tsx,src/,100644,present,
src/components/PlayerControls.tsx,src/,100755,present,
src/components/PlayerProgressbar.tsx,src/,100755,present,
src/components/PlayerRepeatToggle.tsx,src/,100755,present,
src/components/PlayerVolumeBar.tsx,src/,100755,present,
src/components/PlaylistListItem.tsx,src/,100755,present,
src/components/PlaylistTracksList.tsx,src/,100755,present,
src/components/PlaylistsList.tsx,src/,100755,present,
src/components/PlaylistsListModal.tsx,src/,100644,present,
src/components/QueueControls.tsx,src/,100755,present,
src/components/RadioList.tsx,src/,100644,present,
src/components/RadioListItem.tsx,src/,100644,present,
src/components/SearchList.tsx,src/,100644,present,
src/components/SearchListItem.tsx,src/,100644,present,
src/components/ShowPlayerListToggle.tsx,src/,100644,present,
src/components/SingerTracksList.tsx,src/,100644,present,
src/components/TrackShortcutsMenu.tsx,src/,100755,present,
src/components/TracksList.tsx,src/,100755,present,
src/components/TracksListItem.tsx,src/,100755,present,
src/components/lyric/index.tsx,src/,100755,present,
src/components/lyric/lyricItem.tsx,src/,100755,present,
src/components/utils/StopPropagation.tsx,src/,100755,present,
src/components/utils/common.ts,src/,100644,present,
src/components/utils/index.ts,src/,100644,present,
src/components/utils/message.ts,src/,100644,present,
src/components/utils/musicSdk/api-source-info.ts,src/,100644,present,
src/components/utils/musicSdk/api-source.js,src/,100644,present,
src/components/utils/musicSdk/index.js,src/,100644,present,
src/components/utils/musicSdk/options.js,src/,100644,present,
src/components/utils/musicSdk/tx/api-ikun.js,src/,100644,present,
src/components/utils/musicSdk/tx/comment.js,src/,100644,present,
src/components/utils/musicSdk/tx/hotSearch.js,src/,100644,present,
src/components/utils/musicSdk/tx/index.js,src/,100644,present,
src/components/utils/musicSdk/tx/leaderboard.js,src/,100644,present,
src/components/utils/musicSdk/tx/lyric.js,src/,100644,present,
src/components/utils/musicSdk/tx/musicInfo.js,src/,100644,present,
src/components/utils/musicSdk/tx/musicSearch.js,src/,100644,present,
src/components/utils/musicSdk/tx/songList.js,src/,100644,present,
src/components/utils/musicSdk/tx/tipSearch.js,src/,100644,present,
src/components/utils/musicSdk/utils.js,src/,100644,present,
src/components/utils/musicSdk/xm.js,src/,100644,present,
src/components/utils/nativeModules/cache.ts,src/,100644,present,
src/components/utils/nativeModules/crypto.ts,src/,100644,present,
src/components/utils/nativeModules/userApi.ts,src/,100644,present,
src/components/utils/nativeModules/utils.ts,src/,100644,present,
src/components/utils/request.js,src/,100644,present,
src/constants/commonConst.ts,src/,100755,present,
src/constants/constant.ts,src/,100644,present,
src/constants/images.ts,src/,100755,present,
src/constants/layout.ts,src/,100755,present,
src/constants/playbackService.ts,src/,100755,present,
src/constants/tokens.ts,src/,100755,present,
src/constants/trackPlayerEventListener.tsx,src/,100644,present,
src/helpers/errors/MusicError.ts,src/,100644,present,
src/helpers/fileDownload.ts,src/,100644,present,
src/helpers/filter.ts,src/,100755,present,
src/helpers/localFile.ts,src/,100644,present,
src/helpers/logger.ts,src/,100644,present,
src/helpers/lyricManager.ts,src/,100755,present,
src/helpers/miscellaneous.ts,src/,100755,present,
src/helpers/requestTimeout.ts,src/,100644,present,
src/helpers/searchAll.ts,src/,100644,present,
src/helpers/storage.ts,src/,100644,present,
src/helpers/trackPlayerIndex.ts,src/,100644,present,
src/helpers/types.ts,src/,100755,present,
src/helpers/userApi/getMusicSource.ts,src/,100644,present,
src/helpers/userApi/ikun-music-source.js,src/,100644,present,
src/helpers/userApi/importMusicSource.ts,src/,100644,present,
src/helpers/userApi/lxMusicSourceAdapter.ts,src/,100644,present,
src/helpers/userApi/qq-music-api.js,src/,100644,present,
src/helpers/userApi/request.js,src/,100644,present,
src/helpers/userApi/user-api-preload.js,src/,100644,present,
src/helpers/userApi/xiaoqiu.js,src/,100644,present,
src/helpers/userApiHelper.ts,src/,100644,present,
src/hooks/useAppTheme.tsx,src/,100644,present,
src/hooks/useDelayFalsy.ts,src/,100755,present,
src/hooks/useLastActiveTrack.tsx,src/,100755,present,
src/hooks/useLogTrackPlayerState.tsx,src/,100755,present,
src/hooks/useNavigationSearch.tsx,src/,100755,present,
src/hooks/usePlayerBackground.tsx,src/,100755,present,
src/hooks/useSetupTrackPlayer.tsx,src/,100755,present,
src/hooks/useTrackPlayerFavorite.tsx,src/,100755,present,
src/hooks/useTrackPlayerRepeatMode.tsx,src/,100755,present,
src/hooks/useTrackPlayerVolume.tsx,src/,100755,present,
src/locales/en.json,src/,100644,present,
src/locales/zh.json,src/,100644,present,
src/player/CacheManager.ts,src/,100644,present,
src/player/MusicSourceResolver.ts,src/,100644,present,
src/player/PlayerStore.ts,src/,100644,present,
src/player/index.ts,src/,100644,present,
src/store/PersistStatus.ts,src/,100644,present,
src/store/config.ts,src/,100755,present,
src/store/getOrCreateMMKV.ts,src/,100644,present,
src/store/library.tsx,src/,100755,present,
src/store/mediaExtra.ts,src/,100755,present,
src/store/pathConst.ts,src/,100644,present,
src/store/playList.ts,src/,100755,present,
src/store/queue.tsx,src/,100755,present,
src/store/trackViewList.ts,src/,100644,present,
src/store/usePlayerStore.ts,src/,100644,present,
src/styles/index.ts,src/,100755,present,
src/types/album.d.ts,src/,100755,present,
src/types/app.d.ts,src/,100644,present,
src/types/app_setting.d.ts,src/,100644,present,
src/types/artist.d.ts,src/,100755,present,
src/types/common.d.ts,src/,100644,present,
src/types/config_files.d.ts,src/,100644,present,
src/types/declarations.d.ts,src/,100755,present,
src/types/dislike_list.d.ts,src/,100644,present,
src/types/dislike_list_sync.d.ts,src/,100644,present,
src/types/download_list.d.ts,src/,100644,present,
src/types/index.d.ts,src/,100755,present,
src/types/list.d.ts,src/,100644,present,
src/types/list_sync.d.ts,src/,100644,present,
src/types/lyric.d.ts,src/,100755,present,
src/types/music.d.ts,src/,100644,present,
src/types/musicSheet.d.ts,src/,100755,present,
src/types/musicSheetGroup.d.ts,src/,100755,present,
src/types/player.d.ts,src/,100644,present,
src/types/plugin.d.ts,src/,100755,present,
src/types/shims.d.ts,src/,100755,present,
src/types/sync.d.ts,src/,100644,present,
src/types/sync_common.d.ts,src/,100644,present,
src/types/theme.d.ts,src/,100644,present,
src/types/user_api.d.ts,src/,100644,present,
src/types/utils.d.ts,src/,100644,present,
src/utils/delay.ts,src/,100755,present,
src/utils/i18n.ts,src/,100644,present,
src/utils/imageUtils.ts,src/,100644,present,
src/utils/lrcParser.ts,src/,100755,present,
src/utils/mediaIndexMap.ts,src/,100755,present,
src/utils/mediaItem.ts,src/,100755,present,
src/utils/musicInfo/Buffer.js,src/,100644,present,
src/utils/musicInfo/MusicInfo.d.ts,src/,100644,present,
src/utils/musicInfo/MusicInfo.js,src/,100644,present,
src/utils/musicInfo/MusicInfoResponse.js,src/,100644,present,
src/utils/musicInfo/index.js,src/,100644,present,
src/utils/rpx.ts,src/,100755,present,
src/utils/safeParse.ts,src/,100755,present,
src/utils/stateMapper.ts,src/,100755,present,
src/utils/timeformat.ts,src/,100755,present,
src/utils/timingClose.ts,src/,100755,present,
src/utils/trackUtils.ts,src/,100644,present,
src/utils/utils.ts,src/,100644,present,
tsconfig.json,根目录,100755,present,
yarn.lock,根目录,100755,present,
